'Guatemala'|'Guatemala City'|'Quetzal'
'Russia'|'Moscow'|'Ruble'
'Rwanda'|'Kigali'|'Rwandan franc'
'Saint Kitts and Nevis'|'Basseterre'|'East Caribbean dollar'
'Saint Lucia'|'Castries'|'East Caribbean dollar'
'Saint Vincent and the Grenadines'|'Kingstown'|'East Caribbean dollar'
'Samoa'|'Apia'|'Tala'
'San Marino'|'San Marino'|'Euro'
'Sao Tome and Principe'|'Sao Tome'|'Dobra'
'Saudi Arabia'|'Riyadh'|'Riyal'
'Senegal'|'Dakar'|'CFA Franc'
'Serbia'|'Belgrade'|'Serbian Dinar'
'Seychelles'|'Victoria'|'Seychelles rupee'
'Sierra Leone'|'Freetown'|'Leone'
'Singapore'|'Singapore'|'Singapore dollar'
'Slovakia'|'Bratislava'|'Euro'
'Slovenia'|'Ljubljana'|'Slovenian tolar; euro (as of 1/1/07)'
'Solomon Islands'|'Honiara'|'Solomon Islands dollar'
'Somalia'|'Mogadishu'|'Somali shilling'
'South Africa'|'Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary)'|'Rand'
'South Sudan'|'Juba'|'Sudanese Pound'
'Spain'|'Madrid'|'Euro (formerly peseta)'
'Sri Lanka'|'Colombo; Sri Jayewardenepura Kotte (legislative)'|'Sri Lankan rupee'
'Sudan'|'Khartoum'|'Sudanese Pound'
'Suriname'|'Paramaribo'|'Surinamese dollar'
'Swaziland'|'Mbabane'|'Lilangeni'
'Sweden'|'Stockholm'|'Krona'
'Switzerland'|'Berne'|'Swiss franc'
'Syria'|'Damascus'|'Syrian pound'
'Taiwan'|'Taipei'|'Taiwan dollar'
'Tajikistan'|'Dushanbe'|'somoni'
'Tanzania'|'Dar es Salaam; Dodoma (legislative)'|'Tanzanian shilling'
'Thailand'|'Bangkok'|'Baht'
'Togo'|'Lome'|'CFA Franc'
'Tonga'|'Nuku’alofa'|'Pa’anga'
'Trinidad and Tobago'|'Port-of-Spain'|'Trinidad and Tobago dollar'
'Tunisia'|'Tunis'|'Tunisian dinar'
'Turkey'|'Ankara'|'Turkish lira (YTL)'
'Turkmenistan'|'Ashgabat'|'Manat'
'Tuvalu'|'Vaiaku village, Funafuti province'|'Tuvaluan Dollar'
'Uganda'|'Kampala'|'Ugandan new shilling'
'Ukraine'|'Kiev'|'Hryvnia'
'United Arab Emirates'|'Abu Dhabi'|'U.A.E. Dirham'
'United Kingdom'|'London'|'Pound sterling'
'United States of America'|'Washington D.C.'|'Dollar'
'Uruguay'|'Montevideo'|'Uruguay peso'
'Uzbekistan'|'Tashkent'|'Uzbekistani sum'
'Vanuatu'|'Port-Vila'|'Vatu'
'Vatican City (Holy See)'|'Vatican City'|'Euro'
'Venezuela'|'Caracas'|'Bolivar'
'Vietnam'|'Hanoi'|'Dong'
'Yemen'|'Sanaa'|'Rial'
'Zambia'|'Lusaka'|'Kwacha'
'Zimbabwe'|'Harare'|'United States dollar'
